product_name,title,stars,body
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),Google is infinitely better,1.0,"Even the best devices can be ruined by poor software and bad UI. This is a classic case of a good device such as the Echo dot 3rd gen let down by horrendous software. In terms of sheer sound quality and ability to hear you across the room, the ED 3rd blows google home mini right out of the water, and... that's where it stops.I bought it for 2299 and got a wipro bulb free, I figured that it couldn't be a bad purchase. Boy was I wrong!Let's begin with the Alexa app, whoever is in charge of making that app should be sent back to 2012. Remember when you had no clue whether you tapped on a button or not because the taps weren't highlighted? Remember how everything used to be unresponsive back then? Yeah, that's Alexa app for you. SD 855 and 8gigs of ram on your phone? LoL, Alexa don't care! The layout, the buttons in the app, the navigation, ugh.. takes me back to the 90's. A big zero on ease of use or navigational hierarchy. Forget Grandpa, even millennials would have a hard time with this app!What about voice recognition? 50% of the time, it does not recognize you every time.Smartness: The lack of smartness is displayed when you start asking follow up questions. ""Who is the tallest man?"" It'll give you the answer, but if you follow up with ""how tall is he?"". Alexa will go berserk. Heralding a device that can control your lights or turn on the TV as a miraculous achievement is a blatant lie. Controls via commands is nothing new, people in the coding community have done so with raspberry pi's before. What makes it smart is the incousion of AI and machine learning that understands patters and recognizes speech slurs. Something google does and constantly thrives to improve upon.Microphones: There are 4 and they are good, they can hear you from 10 feet away under normal circumstances. Far better than Goggle home mini.Connectivity issues: Wuff, this is one of the biggest issues I faced. Connection is not as easy and simple as that 3 slide image says on the description. Turn on Bluetooth, location, wifi, then look at the app for a Echo-something-th8, it didn't show up! Great, now do the manual labour and get it connected. Even after connection you're gonna get ""updating your device for 10 minutes"".Integration with other smart devices: Wanna connect the wipro bulb with Alexa? First download the wipro smart home app, create an account so that you can be spammed for the rest of your life, then set up that app and device. Next, head over to Alexa, download the wipro skill app for alexa, set it up and congratulations, you can now control lights with latency issues rivaling that of a 56k modem. What's worse, I now have an app on my phone that I only used once in my life but cannot for the love of god uninstall because that stops the bulb from working. VERY SMART!Music: Wanna listen to music on this speaker from your favorite streaming service? Unless it's Amazon music, Saavn or iTunes, your sh!t our of luck. Even though Spotify launched nearly a year ago, there's no way to get Spotify playing on the device natively unless you change device region to Amerika.Speed: You can stream Netflix at 4k? That's great, Alexa don't care! Ask a question, go brew a coffee, fix that leaking faucet, sign up for a banking loan and then, only then perhaps you would get your answer. Now that's an exaggeration but when you compare Alexa's speed in terms of genuine questions as opposed to responding to commands like ""turn off the light"", it is the slowest. Google>Siri>Cortana>your neighbor's pigeon >Alexa.I could go on, but I'll stop here and sulk myself with buyer's remorse."
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),Not that useful,3.0,"I purchased this as a birthday gift for my 7 years old son. Since he don't have siblings so I though it would be a fun experience for him talking to and giving commands to alexa. But to my dismay he only used it for playing music that also only one song after one month of his birthday. ""Alexa please play the flying jat song"". There were things I demonstrated him about alexa like jungle quiz, panchtantra ki kahaniya, alexa laugh, beatbox, fart!  Etc. But after one month of use he lost interest in it and being powered from socket I am also not interested to use it as a bluetooth speaker. I configured it to control a wipro smart bulb. But after few days  I started using the smart bulb as a regular bulb because it's easier to press the physical switch compared to checking the configuration & connection everytime ""Alexa Bulb on"" or ""Alexa bulb off"" voice command doesn't work. So now it is kept idle since 3 months and will remain so for many more months/years to come. The bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly."
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),"Echo Dot never plays original songs, (No way to attach Audio Files)",1.0,"The media could not be loaded.
                



/*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio  for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy."
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),I recommend one more accessory,5.0,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),Amazon is selling an experimental product.,1.0,"Before buying this product please keep these points in mind:- You need amazon prime account  for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software  and hardware from them. You are being used as testers for their experimental products."
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),No warranty should be given to you so be alert buy on your own risk i try different companies spkr,1.0,"The media could not be loaded.
                



 Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you"
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),"Loved sound quality, it's awesome",5.0,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now"
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),Combo with smart bulb reaches US deal price!!!!,5.0,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA.  So no more asking friends to get them from there!!!!  Anyone sitting on the fence can buy this instead of buying bluetooth speakers.  This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness.  While Google mini answers google search questions better - no one is buying a smart speaker for that.  Its integration with smart devices is unparalled and my mini appears dumb most of the times.  Just grab this before it goes back to its old price.  Even the smart bulb is very helpful.  While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb.  Just go for it before its too late
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),Value for money smart speaker,5.0,"I was quite confused between echo dot 3rd & 4th Gen so bought both to try and after testing, I choose 3rd Gen bcoz of following reasons.1. Very responsive to voice command in comparison to 4th Gen.2. Only 1-1.5 scale down from 4th Gen in sound and bass quality.3. I prefer 3rd Gen hockey puck design than 4th Gen round shape (personal preference).4. For higher audio quality and output one can always use external speakers via aux cable.5. Can integrate with Google even via bluetooth.6. Easy to place anywhere without any scope of rolling off.7. LED ring light looks distinctive on top than bottom (4th Gen) bcoz one can't see its 360° view.8. Plays soft music prity well than hard.9. Can fit into confined space.10. Also paid only ₹1999.What more one can ask for."
Echo Dot (3rd Gen) – New and improved smart speaker with Alexa (Black),Awesome,5.0,"The media could not be loaded.
                



 Bought this and wipro 9w smart bulb in combo offer. Configured smart bulb in alexa. Cool thats it.Just say ""alexa, lights on"", ""alexa, turn light to red / blue"" etc.. you can alse even change the brightness ""alexa, change the brightness to 50%"" etc. You will get the manual within the wipro bulb box. There you can see the list of commands.Lets see the other options of echo dot. I connected this to home theater. It is just playing songs from any music station, my playlist. Tried these 2 options only. Mostly i play rhymes. Around INR 2500, i got this combo. Worth to play around."
