,stars,body,clean_text,lemmatized_text,scores,sentiment,word_count
0,1.0,google is infinitely better even the best devices can be ruined by poor software and bad ui this is a classic case of a good device such as the echo dot rd gen let down by horrendous software in terms of sheer sound quality and ability to hear you across the room the ed rd blows google home mini right out of the water and that s where it stops i bought it for and got a wipro bulb free i figured that it couldn t be a bad purchase boy was i wrong let s begin with the alexa app whoever is in charge of making that app should be sent back to remember when you had no clue whether you tapped on a button or not because the taps weren t highlighted remember how everything used to be unresponsive back then yeah that s alexa app for you sd and gigs of ram on your phone lol alexa don t care the layout the buttons in the app the navigation ugh takes me back to the s a big zero on ease of use or navigational hierarchy forget grandpa even millennials would have a hard time with this app what about voice recognition of the time it does not recognize you every time smartness the lack of smartness is displayed when you start asking follow up questions who is the tallest man it ll give you the answer but if you follow up with how tall is he alexa will go berserk heralding a device that can control your lights or turn on the tv as a miraculous achievement is a blatant lie controls via commands is nothing new people in the coding community have done so with raspberry pi s before what makes it smart is the incousion of ai and machine learning that understands patters and recognizes speech slurs something google does and constantly thrives to improve upon microphones there are and they are good they can hear you from feet away under normal circumstances far better than goggle home mini connectivity issues wuff this is one of the biggest issues i faced connection is not as easy and simple as that slide image says on the description turn on bluetooth location wifi then look at the app for a echo something th it didn t show up great now do the manual labour and get it connected even after connection you re gonna get updating your device for minutes integration with other smart devices wanna connect the wipro bulb with alexa first download the wipro smart home app create an account so that you can be spammed for the rest of your life then set up that app and device next head over to alexa download the wipro skill app for alexa set it up and congratulations you can now control lights with latency issues rivaling that of a k modem what s worse i now have an app on my phone that i only used once in my life but cannot for the love of god uninstall because that stops the bulb from working very smart music wanna listen to music on this speaker from your favorite streaming service unless it s amazon music saavn or itunes your sh t our of luck even though spotify launched nearly a year ago there s no way to get spotify playing on the device natively unless you change device region to amerika speed you can stream netflix at k that s great alexa don t care ask a question go brew a coffee fix that leaking faucet sign up for a banking loan and then only then perhaps you would get your answer now that s an exaggeration but when you compare alexa s speed in terms of genuine questions as opposed to responding to commands like turn off the light it is the slowest google siri cortana your neighbor s pigeon alexa i could go on but i ll stop here and sulk myself with buyer s remorse ,google infinitely better even best devices ruined poor software bad ui classic case good device echo dot rd gen let horrendous software terms sheer sound quality ability hear across room ed rd blows google home mini right water stops bought got wipro bulb free figured bad purchase boy wrong let begin alexa app whoever charge making app sent back remember clue whether tapped button taps highlighted remember everything used unresponsive back yeah alexa app sd gigs ram phone lol alexa care layout buttons app navigation ugh takes back big zero ease use navigational hierarchy forget grandpa even millennials would hard time app voice recognition time recognize every time smartness lack smartness displayed start asking follow questions tallest man give answer follow tall alexa go berserk heralding device control lights turn tv miraculous achievement blatant lie controls via commands nothing new people coding community done raspberry pi makes smart incousion ai machine learning understands patters recognizes speech slurs something google constantly thrives improve upon microphones good hear feet away normal circumstances far better goggle home mini connectivity issues wuff one biggest issues faced connection easy simple slide image says description turn bluetooth location wifi look app echo something th show great manual labour get connected even connection gonna get updating device minutes integration smart devices wanna connect wipro bulb alexa first download wipro smart home app create account spammed rest life set app device next head alexa download wipro skill app alexa set congratulations control lights latency issues rivaling k modem worse app phone used life cannot love god uninstall stops bulb working smart music wanna listen music speaker favorite streaming service unless amazon music saavn itunes sh luck even though spotify launched nearly year ago way get spotify playing device natively unless change device region amerika speed stream netflix k great alexa care ask question go brew coffee fix leaking faucet sign banking loan perhaps would get answer exaggeration compare alexa speed terms genuine questions opposed responding commands like turn light slowest google siri cortana neighbor pigeon alexa could go stop sulk buyer remorse,google infinitely better even best device ruined poor software bad ui classic case good device echo dot rd gen let horrendous software term sheer sound quality ability hear across room ed rd blow google home mini right water stop bought got wipro bulb free figured bad purchase boy wrong let begin alexa app whoever charge making app sent back remember clue whether tapped button tap highlighted remember everything used unresponsive back yeah alexa app sd gig ram phone lol alexa care layout button app navigation ugh take back big zero ease use navigational hierarchy forget grandpa even millennials would hard time app voice recognition time recognize every time smartness lack smartness displayed start asking follow question tallest man give answer follow tall alexa go berserk heralding device control light turn tv miraculous achievement blatant lie control via command nothing new people coding community done raspberry pi make smart incousion ai machine learning understands patter recognizes speech slur something google constantly thrives improve upon microphone good hear foot away normal circumstance far better goggle home mini connectivity issue wuff one biggest issue faced connection easy simple slide image say description turn bluetooth location wifi look app echo something th show great manual labour get connected even connection gonna get updating device minute integration smart device wanna connect wipro bulb alexa first download wipro smart home app create account spammed rest life set app device next head alexa download wipro skill app alexa set congratulation control light latency issue rivaling k modem worse app phone used life cannot love god uninstall stop bulb working smart music wanna listen music speaker favorite streaming service unless amazon music saavn itunes sh luck even though spotify launched nearly year ago way get spotify playing device natively unless change device region amerika speed stream netflix k great alexa care ask question go brew coffee fix leaking faucet sign banking loan perhaps would get answer exaggeration compare alexa speed term genuine question opposed responding command like turn light slowest google siri cortana neighbor pigeon alexa could go stop sulk buyer remorse,29.0,1,344
1,3.0,not that useful i purchased this as a birthday gift for my years old son since he don t have siblings so i though it would be a fun experience for him talking to and giving commands to alexa but to my dismay he only used it for playing music that also only one song after one month of his birthday alexa please play the flying jat song there were things i demonstrated him about alexa like jungle quiz panchtantra ki kahaniya alexa laugh beatbox fart etc but after one month of use he lost interest in it and being powered from socket i am also not interested to use it as a bluetooth speaker i configured it to control a wipro smart bulb but after few days i started using the smart bulb as a regular bulb because it s easier to press the physical switch compared to checking the configuration connection everytime alexa bulb on or alexa bulb off voice command doesn t work so now it is kept idle since months and will remain so for many more months years to come the bottomline is that alexa is not that useful as advertised and we tend to lose interest in it very quickly ,useful purchased birthday gift years old son since siblings though would fun experience talking giving commands alexa dismay used playing music also one song one month birthday alexa please play flying jat song things demonstrated alexa like jungle quiz panchtantra ki kahaniya alexa laugh beatbox fart etc one month use lost interest powered socket also interested use bluetooth speaker configured control wipro smart bulb days started using smart bulb regular bulb easier press physical switch compared checking configuration connection everytime alexa bulb alexa bulb voice command work kept idle since months remain many months years come bottomline alexa useful advertised tend lose interest quickly,useful purchased birthday gift year old son since sibling though would fun experience talking giving command alexa dismay used playing music also one song one month birthday alexa please play flying jat song thing demonstrated alexa like jungle quiz panchtantra ki kahaniya alexa laugh beatbox fart etc one month use lost interest powered socket also interested use bluetooth speaker configured control wipro smart bulb day started using smart bulb regular bulb easier press physical switch compared checking configuration connection everytime alexa bulb alexa bulb voice command work kept idle since month remain many month year come bottomline alexa useful advertised tend lose interest quickly,17.0,1,104
2,1.0,echo dot never plays original songs no way to attach audio files the media could not be loaded here i m uploading video enjoy most idiotic device i every bought never play original songs always play some or the other remix or instrumental songs i wish i would have bought google home or some bluetooth speakers some attachments after talking to amazon echo dot executive after my above review echo dot representative called me i m glad for this i showed him the issue with song selection but he told me that it is because of library doesn t have songs that i m selecting and it is better to add gaana com from alexa app after following his guidelines i repeated and recorded issues please see the screen shots and listed to audio for alexa and have fun now i realise amazon review doen t support audio but only video you can buy this device if you have to have personalised fun in your life the is not way of attaching audio files only video so this is again funny if i wan t to attach some feedback for alexa why do i need video this is called mismatch in basic requirement i ll try to get capture view than attach here for same issues added as image till than enjoy ,echo dot never plays original songs way attach audio files media could loaded uploading video enjoy idiotic device every bought never play original songs always play remix instrumental songs wish would bought google home bluetooth speakers attachments talking amazon echo dot executive review echo dot representative called glad showed issue song selection told library songs selecting better add gaana com alexa app following guidelines repeated recorded issues please see screen shots listed audio alexa fun realise amazon review doen support audio video buy device personalised fun life way attaching audio files video funny wan attach feedback alexa need video called mismatch basic requirement try get capture view attach issues added image till enjoy,echo dot never play original song way attach audio file medium could loaded uploading video enjoy idiotic device every bought never play original song always play remix instrumental song wish would bought google home bluetooth speaker attachment talking amazon echo dot executive review echo dot representative called glad showed issue song selection told library song selecting better add gaana com alexa app following guideline repeated recorded issue please see screen shot listed audio alexa fun realise amazon review doen support audio video buy device personalised fun life way attaching audio file video funny wan attach feedback alexa need video called mismatch basic requirement try get capture view attach issue added image till enjoy,22.0,1,113
3,5.0,i recommend one more accessory its just one if the best deal i ever got on amazon i purchased it with a watt wipro light at and enjoying it since last daya its my th echo device and yes i would highly recommend buying a product with this just search echo dot wall mount you ll see a rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory,recommend one accessory one best deal ever got amazon purchased watt wipro light enjoying since last daya th echo device yes would highly recommend buying product search echo dot wall mount see rupees wall mount trust make huge difference sound transportability plus wall recognise voice quicker faces wall seriously guys combination two compulsory,recommend one accessory one best deal ever got amazon purchased watt wipro light enjoying since last daya th echo device yes would highly recommend buying product search echo dot wall mount see rupee wall mount trust make huge difference sound transportability plus wall recognise voice quicker face wall seriously guy combination two compulsory,12.0,1,53
4,1.0,amazon is selling an experimental product before buying this product please keep these points in mind you need amazon prime account for rs per year to listen to music from amazon otherwise you will have to use free and full of advertisement services like saavn gaana etc echo dot skips to next song abruptly without completing current song most often if you try to stream music from your amazon prime music app on your iphone to echo dot or echo dot stereo pair the app cannot control the music you cannot scrub music or know which song is playing or move to next music in the playlist the control magically switches the alexa app that you need to have on your phone to setup echo dot you can only stream to stereo pair from amazon prime music app no real support exists for this device if you call amazon support staff they will drive you crazy as they know nothing about this product and its features if you want to use it as kids toy then it is ok to buy it as it can switch on and off lights that are compatible with alexa audio quality is very basic even a cheap chinese product sounds better this is really a no no product for music lovers you better buy either sony or jbl soundbars with subwoofer for better quality music though these may cost you beyond inr k alexa does not understands most of the commands apple siri is way ahead of alexa amazon is not a software and hardware company don t expect quality software and hardware from them you are being used as testers for their experimental products ,amazon selling experimental product buying product please keep points mind need amazon prime account rs per year listen music amazon otherwise use free full advertisement services like saavn gaana etc echo dot skips next song abruptly without completing current song often try stream music amazon prime music app iphone echo dot echo dot stereo pair app cannot control music cannot scrub music know song playing move next music playlist control magically switches alexa app need phone setup echo dot stream stereo pair amazon prime music app real support exists device call amazon support staff drive crazy know nothing product features want use kids toy ok buy switch lights compatible alexa audio quality basic even cheap chinese product sounds better really product music lovers better buy either sony jbl soundbars subwoofer better quality music though may cost beyond inr k alexa understands commands apple siri way ahead alexa amazon software hardware company expect quality software hardware used testers experimental products,amazon selling experimental product buying product please keep point mind need amazon prime account r per year listen music amazon otherwise use free full advertisement service like saavn gaana etc echo dot skip next song abruptly without completing current song often try stream music amazon prime music app iphone echo dot echo dot stereo pair app cannot control music cannot scrub music know song playing move next music playlist control magically switch alexa app need phone setup echo dot stream stereo pair amazon prime music app real support exists device call amazon support staff drive crazy know nothing product feature want use kid toy ok buy switch light compatible alexa audio quality basic even cheap chinese product sound better really product music lover better buy either sony jbl soundbars subwoofer better quality music though may cost beyond inr k alexa understands command apple siri way ahead alexa amazon software hardware company expect quality software hardware used tester experimental product,19.0,1,159
5,1.0,no warranty should be given to you so be alert buy on your own risk i try different companies spkr the media could not be loaded worst experience with alexa no warranty you get with this product amazon policy are worst ctdi partner an official amazon devices service partner i have requested to amazon to replace my alexa device with in the warranty period the refuses my request issue is escalated bu amazon team but no follow up call can be held till today they are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product excuse me amazon all of the world wide companies change their policies in national lockdown i think amazon policy are worst they stand in the last of the top companies list they have no customer satisfaction even apple has extended there warranty of their product in lockdown amazon shame amazon shameful for you,warranty given alert buy risk try different companies spkr media could loaded worst experience alexa warranty get product amazon policy worst ctdi partner official amazon devices service partner requested amazon replace alexa device warranty period refuses request issue escalated bu amazon team follow call held till today giving fake excuses service temporary un available service alexa days warranty get expire say product warranty expired give service product excuse amazon world wide companies change policies national lockdown think amazon policy worst stand last top companies list customer satisfaction even apple extended warranty product lockdown amazon shame amazon shameful,warranty given alert buy risk try different company spkr medium could loaded worst experience alexa warranty get product amazon policy worst ctdi partner official amazon device service partner requested amazon replace alexa device warranty period refuse request issue escalated bu amazon team follow call held till today giving fake excuse service temporary un available service alexa day warranty get expire say product warranty expired give service product excuse amazon world wide company change policy national lockdown think amazon policy worst stand last top company list customer satisfaction even apple extended warranty product lockdown amazon shame amazon shameful,-21.0,-1,97
6,5.0,loved sound quality it s awesome i am using alexa dot nd gen and today i have gifted dot rd gen to my daddy i see of difference in sound quality compared nd gen sound quality is amazing it is louder than nd gen dot one thing disappointed is that when say alexa play old telugu songs in nd gen dot it play old songs from retro station but in rd gen dot it is playing telugu songs not telugu old songs when i specially say alexa play telugu retro station songs it is playing old songs of specific combination of male and female singers i will update the review after days again but it s star rating for now,loved sound quality awesome using alexa dot nd gen today gifted dot rd gen daddy see difference sound quality compared nd gen sound quality amazing louder nd gen dot one thing disappointed say alexa play old telugu songs nd gen dot play old songs retro station rd gen dot playing telugu songs telugu old songs specially say alexa play telugu retro station songs playing old songs specific combination male female singers update review days star rating,loved sound quality awesome using alexa dot nd gen today gifted dot rd gen daddy see difference sound quality compared nd gen sound quality amazing louder nd gen dot one thing disappointed say alexa play old telugu song nd gen dot play old song retro station rd gen dot playing telugu song telugu old song specially say alexa play telugu retro station song playing old song specific combination male female singer update review day star rating,15.0,1,76
7,5.0,combo with smart bulb reaches us deal price for using off you are getting a bulb worth making echo dot which at roughly dollars is same price you get in deals in usa so no more asking friends to get them from there anyone sitting on the fence can buy this instead of buying bluetooth speakers this is th echo dot including earlier versions and google mini doesnt even come close when it comes to smartness while google mini answers google search questions better no one is buying a smart speaker for that its integration with smart devices is unparalled and my mini appears dumb most of the times just grab this before it goes back to its old price even the smart bulb is very helpful while watching tv just ask alexa to turn bulb blue or red not sure if this bulb can dim if so you can use this both as a day bulb and a night bulb just go for it before its too late,combo smart bulb reaches us deal price using getting bulb worth making echo dot roughly dollars price get deals usa asking friends get anyone sitting fence buy instead buying bluetooth speakers th echo dot including earlier versions google mini doesnt even come close comes smartness google mini answers google search questions better one buying smart speaker integration smart devices unparalled mini appears dumb times grab goes back old price even smart bulb helpful watching tv ask alexa turn bulb blue red sure bulb dim use day bulb night bulb go late,combo smart bulb reach u deal price using getting bulb worth making echo dot roughly dollar price get deal usa asking friend get anyone sitting fence buy instead buying bluetooth speaker th echo dot including earlier version google mini doesnt even come close come smartness google mini answer google search question better one buying smart speaker integration smart device unparalled mini appears dumb time grab go back old price even smart bulb helpful watching tv ask alexa turn bulb blue red sure bulb dim use day bulb night bulb go late,9.0,1,91
8,5.0,value for money smart speaker i was quite confused between echo dot rd th gen so bought both to try and after testing i choose rd gen bcoz of following reasons very responsive to voice command in comparison to th gen only scale down from th gen in sound and bass quality i prefer rd gen hockey puck design than th gen round shape personal preference for higher audio quality and output one can always use external speakers via aux cable can integrate with google even via bluetooth easy to place anywhere without any scope of rolling off led ring light looks distinctive on top than bottom th gen bcoz one can t see its view plays soft music prity well than hard can fit into confined space also paid only what more one can ask for ,value money smart speaker quite confused echo dot rd th gen bought try testing choose rd gen bcoz following reasons responsive voice command comparison th gen scale th gen sound bass quality prefer rd gen hockey puck design th gen round shape personal preference higher audio quality output one always use external speakers via aux cable integrate google even via bluetooth easy place anywhere without scope rolling led ring light looks distinctive top bottom th gen bcoz one see view plays soft music prity well hard fit confined space also paid one ask,value money smart speaker quite confused echo dot rd th gen bought try testing choose rd gen bcoz following reason responsive voice command comparison th gen scale th gen sound bass quality prefer rd gen hockey puck design th gen round shape personal preference higher audio quality output one always use external speaker via aux cable integrate google even via bluetooth easy place anywhere without scope rolling led ring light look distinctive top bottom th gen bcoz one see view play soft music prity well hard fit confined space also paid one ask,8.0,1,93
9,5.0,awesome the media could not be loaded bought this and wipro w smart bulb in combo offer configured smart bulb in alexa cool thats it just say alexa lights on alexa turn light to red blue etc you can alse even change the brightness alexa change the brightness to etc you will get the manual within the wipro bulb box there you can see the list of commands lets see the other options of echo dot i connected this to home theater it is just playing songs from any music station my playlist tried these options only mostly i play rhymes around inr i got this combo worth to play around ,awesome media could loaded bought wipro w smart bulb combo offer configured smart bulb alexa cool thats say alexa lights alexa turn light red blue etc alse even change brightness alexa change brightness etc get manual within wipro bulb box see list commands lets see options echo dot connected home theater playing songs music station playlist tried options mostly play rhymes around inr got combo worth play around,awesome medium could loaded bought wipro w smart bulb combo offer configured smart bulb alexa cool thats say alexa light alexa turn light red blue etc alse even change brightness alexa change brightness etc get manual within wipro bulb box see list command let see option echo dot connected home theater playing song music station playlist tried option mostly play rhyme around inr got combo worth play around,11.0,1,68
